month,total_nodes,connected_nodes,edges,density,num_components,giant_component_size,giant_component_fraction,avg_degree,std_degree,max_degree,avg_clustering,transitivity,avg_shortest_path,modularity,num_communities,avg_betweenness,avg_degree_centrality,assortativity,new_nodes,new_edges,edges_per_node,isolated_nodes
2022-12,1,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,1,0,0.0,1
2023-01,18,4,2,0.3333333333333333,2,2,0.5,1.0,0.0,1,0.0,0,1.0,0.0,1,0.0,1.0,nan,17,2,0.5,14
2023-02,59,14,8,0.08791208791208792,6,3,0.21428571428571427,1.3333333333333333,0.4714045207910317,2,0.0,0,1.3333333333333333,0.0,1,0.3333333333333333,0.6666666666666666,-1.0,41,6,0.5714285714285714,45
2023-03,195,40,42,0.05384615384615385,6,17,0.425,2.588235294117647,2.327806933812868,11,0.3711229946524064,0.2222222222222222,2.4558823529411766,0.367345379788627,4,0.09705882352941175,0.16176470588235295,-0.3826947912182522,136,34,1.05,155
2023-04,279,63,76,0.03891449052739376,11,19,0.30158730158730157,2.6315789473684212,2.454009100394688,12,0.3406698564593301,0.21428571428571427,2.5146198830409356,0.37067584523584196,4,0.0890952872377021,0.14619883040935672,-0.35580453817907853,84,34,1.2063492063492063,216
2023-05,400,93,117,0.0273492286115007,18,28,0.3010752688172043,3.857142857142857,3.020339215980853,11,0.36100803957946814,0.40425531914893614,2.8253968253968256,0.37964622621791594,5,0.07020757020757021,0.14285714285714285,-0.07155123068116807,121,41,1.2580645161290323,307
2023-06,532,133,201,0.022898154477101845,26,43,0.3233082706766917,5.348837209302325,4.360945709949517,16,0.46768618977921306,0.44884488448844884,2.7486157253599113,0.4037067407925138,4,0.04264916403316857,0.1273532668881506,-0.051725461384098385,132,84,1.5112781954887218,399
2023-07,694,187,429,0.024667931688804556,32,76,0.40641711229946526,8.552631578947368,7.336632557605605,35,0.5399665127148107,0.5086666666666667,2.74140350877193,0.43537822788813785,5,0.023532479848269325,0.11403508771929827,-0.033608650058731704,162,228,2.2941176470588234,507
2023-08,776,227,627,0.024443491481813573,32,108,0.47577092511013214,9.37037037037037,9.066209743993632,40,0.49976540948509907,0.5478441318884021,3.087919695396331,0.44228369161509223,5,0.019238434433692813,0.08757355486327449,0.06305037092680084,82,198,2.762114537444934,549
2023-09,841,245,694,0.023218467714954834,31,109,0.4448979591836735,9.394495412844037,9.082717077837117,41,0.5011742194668609,0.5437798498976575,3.0784913353720693,0.4333595278947698,9,0.019563862296719012,0.08698606863744478,0.05546888227850234,65,67,2.83265306122449,596
2023-10,966,281,807,0.020513472292831722,35,120,0.42704626334519574,9.083333333333334,9.087155159283288,43,0.47881101459251046,0.532051282051282,3.192717086834734,0.4619981675713408,6,0.018103673430235667,0.07633053221288515,0.0756309270101491,125,113,2.8718861209964412,685
2023-11,1011,294,862,0.020013466137308165,36,202,0.6870748299319728,7.881188118811881,8.12560691255026,44,0.47946077283701033,0.5083154948131072,4.009851731441801,0.6419647354599388,8,0.01537886498419921,0.03920989113836757,0.13048209480323988,45,55,2.931972789115646,717
2023-12,1053,320,967,0.018945924764890282,38,220,0.6875,8.136363636363637,8.283035535716989,45,0.48753152067973665,0.49325391129611024,3.9302200083022,0.6620912758783518,8,0.013355484513918145,0.03715234537152344,0.068161728687426,42,105,3.021875,733
2024-01,1096,346,1057,0.01770964228868225,40,240,0.6936416184971098,8.166666666666666,8.481188333927951,45,0.47040193466961955,0.4852123922069626,3.936854951185495,0.6271089766308636,8,0.012434984626376749,0.03417015341701534,0.022007346739244045,43,90,3.054913294797688,750
2024-02,1205,367,1098,0.01634877384196185,39,253,0.6893732970027248,7.976284584980237,8.458187722873914,46,0.4647533409484722,0.4767853813164274,4.010195118890771,0.6736380167517481,7,0.011777721554524879,0.03165192295627078,0.01555412651585944,109,41,2.991825613079019,838
2024-03,1248,389,1172,0.015530172528025866,43,265,0.6812339331619537,8.120754716981132,8.63562953950723,52,0.46710893537494125,0.4589864903380266,3.971755288736421,0.6716273613332905,9,0.010844265295889407,0.030760434534019436,-0.014936533242360972,43,74,3.012853470437018,859
2024-04,1289,409,1235,0.014801764226472985,46,275,0.6723716381418093,8.203636363636363,8.667724114340169,53,0.46998202978736725,0.45513654096228867,3.9914797611147974,0.6780780871430633,9,0.011144339664805996,0.029940278699402786,-0.017919574316721545,41,63,3.019559902200489,880
2024-05,1328,418,1245,0.014285222539671611,49,277,0.6626794258373205,8.187725631768952,8.662596109801333,53,0.46914373560447825,0.45443270060396895,4.016925652697117,0.6798183175747232,8,0.011244749469157418,0.02966567257887302,-0.018231352635143326,39,10,2.978468899521531,910
2024-06,1369,439,1279,0.01330337733121145,50,283,0.6446469248291572,8.141342756183745,8.686195190622033,54,0.46776945497266964,0.450404697667037,4.040974362829862,0.6778023400736533,8,0.010479565124282691,0.028870009773701223,-0.021582919510687453,41,34,2.9134396355353074,930
2024-07,1425,464,1329,0.012372458479183734,50,291,0.6271551724137931,8.034364261168385,8.670694878828732,54,0.45738191310942017,0.4479177538879031,4.106766204526602,0.6838525326063132,8,0.01118123580928502,0.0277047043488565,-0.018349248095381,56,50,2.8642241379310347,961
2024-08,1453,476,1358,0.012012383900928793,50,299,0.6281512605042017,7.959866220735786,8.632891599771623,54,0.4590763798226995,0.4449649917627677,4.155596956297277,0.6878384213739707,8,0.010346756407510087,0.026710960472267738,-0.014556367379623134,28,29,2.8529411764705883,977
2024-09,1492,493,1392,0.011477761836441894,49,304,0.6166328600405679,7.894736842105263,8.59670828583828,54,0.46525034733164594,0.4436868816322346,4.168946499913149,0.6876900513380341,9,0.010383651006493527,0.026055237102657634,-0.006687272565368288,39,34,2.823529411764706,999
2024-10,1550,514,1449,0.010990511297699502,49,396,0.7704280155642024,6.904040404040404,7.947802176244131,54,0.4402760903075729,0.4395470891243075,5.774747474747475,0.7362323123783916,12,0.01140335897758401,0.017478583301368113,0.09278138795306477,58,57,2.8190661478599224,1036
2024-11,1578,524,1477,0.010778976252681973,49,403,0.7690839694656488,6.898263027295285,7.979942098230689,56,0.4384090750428134,0.4349500713266762,5.752391886720245,0.7368342035608512,12,0.012374517021248513,0.017159858276853943,0.08629726602826918,28,28,2.818702290076336,1054
2024-12,1636,535,1492,0.010444887815464314,51,408,0.7626168224299066,6.862745098039215,7.969967175475834,57,0.43888037018900466,0.4328640272134555,5.745194392253215,0.7368365453006299,13,0.01185935070387508,0.016861781567663922,0.08276296969495357,58,15,2.788785046728972,1101
2025-01,1740,548,1528,0.010194958566300592,52,418,0.7627737226277372,6.861244019138756,7.976633362022433,57,0.4350622895016208,0.4352854444086071,5.784275928539465,0.7426624577133334,14,0.011588391721181564,0.016453822587862727,0.08540571761950372,104,36,2.7883211678832116,1192
2025-02,1788,561,1555,0.009899414311179017,55,425,0.7575757575757576,6.861176470588235,7.9635654757467265,57,0.4333686103910859,0.43524657161020797,5.811897891231965,0.7459182720473794,13,0.011736508637226032,0.01618201997780244,0.08770366914966117,48,27,2.771836007130125,1227
2025-03,1870,584,1659,0.009745294767264268,58,440,0.7534246575342466,7.072727272727272,8.185029672750225,58,0.4331179516648448,0.4411691747974202,5.8210809691447505,0.7490230391084137,15,0.010640665340003026,0.016110996065437977,0.08882758934711286,82,104,2.8407534246575343,1286
2025-04,1908,601,1718,0.009528563505268995,59,453,0.7537437603993344,7.116997792494481,8.247388926159168,59,0.43897565445344144,0.43562749831796416,5.838324640059388,0.7499243122864154,15,0.010670467456493193,0.015745570337377172,0.08978683560641433,38,59,2.858569051580699,1307
